Generation,大半径,中文1,中文2,lashen2,lashen5,lashen7,Volume
1,0.03909580305682182,0.020297012999487406,0.017054838178728604,0.010133768088368442,0.010455534387505374,0.015367772946436115,0.0007245858543605269
1,0.033885346674349406,0.019715559530640005,0.016237761018312855,0.010560483053404577,0.009798814212840345,0.02116854751635853,0.0006309476247789005
1,0.046635168080778944,0.015218468403245183,0.01362013327027393,0.008514277588428392,0.011174270636110798,0.017995939088242957,0.0008814403772112729
1,0.04004097473194244,0.015761074026282133,0.016304797621751816,0.008343026056542963,0.011115609400747272,0.01686706085715414,0.0007394621478620457
2,0.046635168080778944,0.015218468403245183,0.01362013327027393,0.008514277588428392,0.011174270636110798,0.017995939088242957,0.0008814403772112729
2,0.03920550599409593,0.019653563584452378,0.013615748187559252,0.010051546029287456,0.011152602307410308,0.018247219232700798,0.0007245413000001682
2,0.03335513246143203,0.015309171597327833,0.01362013327027393,0.008514277588428392,0.011174270636110798,0.017956481990968377,0.0006146193762390045
2,0.047346029983047565,0.01948512675503608,0.016237761018312855,0.010560483053404577,0.009798814212840345,0.021195716323321675,0.0009054922162239946
3,0.04676381462440718,0.015313190036027864,0.01362013327027393,0.008514277588428392,0.011174270636110798,0.017955294985115854,0.0008844530887105627
3,0.04638559863185397,0.014929512618018366,0.013615748187559252,0.008466866066734849,0.011152602307410308,0.017515954497052063,0.0008753481692634746
3,0.046635168080778944,0.015218468403245183,0.01362013327027393,0.008514277588428392,0.011174270636110798,0.017995939088242957,0.0008814403772112729
3,0.03945921160905905,0.019939933105743157,0.01362013327027393,0.010098960433738705,0.011174270636110798,0.017995939088242957,0.000729722585023215
